ID;label;L_1_NL_2;pubs;avg_num_authors_pub;infomap_com1;blondel_com1;blondel_com3;num_countries_per_pub;num_coauth_names;pct_sole_auth;pct_internat;year_first_pub;hindex;nation papers 1;totalcites;avgcites
125;NONLAUREATE_57;2;300;6.073333333;19;16;2;1.844290657;625;0.01;0.554;1978;53;1;12067;40.22
126;NONLAUREATE_58;2;644;5.309006211;11;4;0;1.434782609;933;0.034;0.257;1954;128;0;68572;106.48
127;NONLAUREATE_59;2;154;2.922077922;;;;1.024390244;44;0.032;0.024;1947;43;0;11801;76.63
128;NONLAUREATE_60;2;372;4.048387097;;;;1.264214047;346;0.027;0.237;1965;68;1;19412;52.18
129;NONLAUREATE_61;2;207;3.951690821;7;23;10;1.0875;305;0.024;0.086;1959;45;0;6962;33.63
130;NONLAUREATE_62;2;305;5.049180328;2;3;2;1.170731707;666;0.026;0.159;1971;120;0;50313;164.96
131;NONLAUREATE_63;2;235;6.493617021;5;18;7;1.57635468;606;0.021;0.453;1969;90;1;39330;167.36
132;NONLAUREATE_64;2;168;4.029761905;13;24;11;1.193277311;203;0.077;0.185;1952;68;1;20423;121.57
133;NONLAUREATE_65;2;336;2.761904762;8;26;12;1.038834951;155;0.089;0.039;1955;67;0;15501;46.13
134;NONLAUREATE_66;2;332;4.61746988;2;3;2;1.150684932;629;0.12;0.13;1960;143;0;93729;282.32
135;NONLAUREATE_67;2;232;4.202586207;20;29;1;1.293478261;323;0.177;0.266;1956;86;0;39456;170.07
136;NONLAUREATE_68;2;313;2.645367412;;;;1.015384615;148;0.089;0.015;1927;48;0;10228;32.68
